i,n,b_low,b_high,r,approx,n_calls,time_ms
1,50,1,1,12,1099.0,84034,2095
1,50,1,6,12,1125.0,13014440,65063
1,50,1,1,25,1965.0,99119,2252
1,50,1,4,25,2295.0,8885975,47527
1,50,4,17,25,2427.0,155838041,658628
1,50,2,8,50,4196.0,40247982,186920
1,50,8,35,50,4538.0,457590489,1882310
1,50,3,12,75,7150.0,72198299,321490
1,50,13,53,75,7343.0,926727531,3732564
1,100,1,1,25,2190.0,405174,10472
1,100,1,4,25,2362.0,58073139,307564
1,100,4,17,25,2475.0,1034478113,4521568
1,100,1,1,50,3689.0,477367,11513
1,100,2,8,50,4860.0,304430388,1433515
1,100,8,35,50,4904.0,3673177856,15541832
1,100,5,20,100,9357.0,1514856054,6564314
1,100,18,74,100,9807.0,12813727147,52930490
1,100,7,28,150,14056.0,2865734490,12218993
1,100,27,109,150,14700.0,20346979850,83951842
1,250,1,1,62,5483.0,3002347,102020
